type,action,index_source,consommable,marque,reference,code_nacres,ancien_prix_conditionnement,ancien_prix_ht_ijm,code_ijm,score_match
solide,catalogue_ijm_ligne_separee,,ACIDE CHLORHYDRIQUE 37% NP 1litre,PROLABO,C005,NA21,,5.22,C005,
solide,catalogue_ijm_ligne_separee_donnees_masse_conservees,,ACIDE CITRIQUE NP 1Kg,PROLABO,C006,NA21,,12.84,C006,
solide,catalogue_ijm_ligne_separee,,ACIDE NITRIQUE 69% NP 1 litre,PROLABO,C007,NA21,,9.23,C007,
solide,catalogue_ijm_ligne_separee_donnees_masse_conservees,,ACIDE BORIQUE Christallisé NP 1Kg,PROLABO,C008,NA21,,18.69,C008,
solide,catalogue_ijm_ligne_separee,,ACIDE SULFURIQUE 95% NP 1 litre,PROLABO,C009,NA21,,6.09,C009,
solide,catalogue_ijm_ligne_separee_donnees_masse_conservees,,ACIDE TRICHLOROACÉTIQUE NP 1Kg,PROLABO,C010,NA21,,69.8,C010,
solide,catalogue_ijm_ligne_separee,,ACIDE PROPIONIQUE pour la synthèse 1 litre Usage sous condition avec protection,MERCK,C069,NA21,,39.59,C069,
solide,catalogue_ijm_ligne_separee,,"ACRYLAMIDE (99,4%) Bis Acrylamide 19/1 40% Solution 500ml",EUROMEDEX,C0024,NB22,,37.66,C0024,
solide,catalogue_ijm_ligne_separee,,"ACRYLAMIDE (99,4%) Bis Acrylamide 29/1 40% Solution 500ml",EUROMEDEX,C0025,NB22,,37.66,C0025,
solide,catalogue_ijm_ligne_separee,,"ACRYLAMIDE (99,4%) Bis Acrylamide 37,5/1 40% Solution 500ml",EUROMEDEX,C0022,NB22,,37.66,C0022,
solide,catalogue_ijm_ligne_separee_donnees_masse_conservees,,AGAROSE Standard 100g,EUROMEDEX,C0023,NB22,,44.94,C0023,
solide,catalogue_ijm_ligne_separee,,DMSO 250ml,EUROMEDEX,C0027,NB22,,75.49,C0027,
solide,catalogue_ijm_ligne_separee,,ETHIDIUM BROMIDE (BET) Solution 10ml 0.5mg/ml,EUROMEDEX,E406,NA31,,15.41,E406,
solide,catalogue_ijm_ligne_separee,,"SYBR Safe DNA gel stain - 10,000X concent in DMSO (400µl)",LIFE Technologie,C075,NA31,,98.27,C075,
solide,catalogue_ijm_ligne_separee,,DNA Stain: ClearSight DNA Stain 1ml,EUROMEDEX,C076,NA31,,60.94,C076,
solide,catalogue_ijm_ligne_separee,,"TAE 10X Solution 2,5 litres",EUROMEDEX,C0626,NA25,,18.46,C0626,
solide,catalogue_ijm_ligne_separee,,"TBE 10X Solution 2,5 litres",EUROMEDEX,C0621A,NA25,,24.72,C0621A,
solide,catalogue_ijm_ligne_separee,,TEMED 25ml,EUROMEDEX,C0623,NA31,,16.37,C0623,
