code_nacres,designation,code_ijm,prix_ht,condt,nb_unites,prix_unitaire,marque,page
NB51,MINUTEUR/DECOMPTEUR (TIMER) de poche,EA135,21.69,1,1,21.69,,17
NB51,"THERMOMETRE MURALE en plastique, thermomural (-30° / +50°)",EA136,2.17,1,1,2.17,,17
NB51,THERMOMETRE Réfrigérateur (-50° / +50°),EA136A,5.87,1,1,5.87,,17
NB51,TUYAU PVC CLAIR Diam 2x4mm,D059,0.51,1,1,0.51,NALGENE,18
NB51,TUYAU PVC CLAIR Diam 4x7mm,D061,1.41,1,1,1.41,NALGENE,18
NB51,TUYAU PVC CLAIR Diam 6x9mm,D062,0.96,1,1,0.96,NALGENE,18
NB51,TUYAU PVC CLAIR Diam 7x10mm,D063,2.96,1,1,2.96,NALGENE,18
NB51,TUYAU PVC CLAIR Diam 8x11mm,D064,3.3,1,1,3.3,NALGENE,18
NB51,TUYAU PVC CLAIR Diam 10x14mm,D065,1.82,1,1,1.82,NALGENE,18
NB51,TUYAU PVC CLAIR Diam 12x17mm,D066,2.05,1,1,2.05,NALGENE,18
NB51,TUYAU PVC CLAIR Diam 15x20mm,D067,5.03,1,1,5.03,NALGENE,18
NB51,TUYAU PVC CLAIR Diam 20x26mm,D0671,6.77,1,1,6.77,NALGENE,18
NB51,"TUYAU PVC ARMÉ Diam 6,4x11,2mm",D068,0.89,1,1,0.89,NALGENE,18
NB51,"TUYAU PVC ARMÉ Diam 7,9x12,7mm",D069,3.21,1,1,3.21,NALGENE,18
NB51,"TUYAU PVC ARMÉ Diam 9,5x14,3mm",D070,3.57,1,1,3.57,NALGENE,18
NB51,"TUYAU PVC ARMÉ Diam 12,7x19,1mm",D071,4.71,1,1,4.71,NALGENE,18
NB51,"TUYAU PVC ARMÉ Diam 15,9x22,3mm",D072,7.35,1,1,7.35,NALGENE,18
NB51,"TUYAU PVC ARMÉ Diam 19x25,4",D0721,8.28,1,1,8.28,NALGENE,18
NB51,TUYAU SILICONE Diam 3x5mm,D087,0.9,1,1,0.9,NALGENE,18
NB51,TUYAU SILICONE Diam 4x6mm,D088,1.09,1,1,1.09,NALGENE,18
NB51,TUYAU SILICONE Diam 6x10mm,D090,3.0,1,1,3.0,NALGENE,18
NB51,TUYAU SILICONE Diam 8x14mm,D091,2.73,1,1,2.73,NALGENE,18
NB51,TUYAU SILICONE Diam10x14mm,D092,4.07,1,1,4.07,NALGENE,18
NB51,"TUYAU SILICONE Diam 12x15,5mm",D093,3.76,1,1,3.76,NALGENE,18
NB51,TUYAU SILICONE Diam 15x21mm,D094,8.11,1,1,8.11,NALGENE,18
NB51,TUYAU SILICONE Diam 20x27mm,D0941,11.58,1,1,11.58,NALGENE,18
NB51,BARREAUX D'AGITATION MAGNÉTIQUE 15x8mm,D001,1.02,1,1,1.02,FISHERBRAND,18
NB51,BARREAUX D'AGITATION MAGNÉTIQUE 25x6mm,D002,0.77,1,1,0.77,FISHERBRAND,18
NB51,BARREAUX D'AGITATION MAGNÉTIQUE 40x8mm,D003,1.16,1,1,1.16,FISHERBRAND,18
NB51,BARREAUX D'AGITATION MAGNÉTIQUE 60x10mm,D004,1.55,1,1,1.55,FISHERBRAND,18
NB51,BARREAUX D'AGITATION MAGNÉTIQUE 70x10mm,D005,1.98,1,1,1.98,FISHERBRAND,18
NB51,BRÛLEUR BUNSEN sans cartouche,D018,44.73,1,1,44.73,,18
NB35,CARTOUCHE BUTANE CV 300 PLUS,D008A,6.46,1,1,6.46,,18
NB35,CARTOUCHE BUTANE C206,D008,3.57,1,1,3.57,,18
NB35,CARTOUCHE USBECK 1430,D008B,13.35,1,1,13.35,,18
MA45,LAMPE MERCURE HBO 103W,D127,96.3,1,1,96.3,OSRAM,19
MA45,LAMPE XENOPHOT 12V 100W (64625),D129,4.82,1,1,4.82,OSRAM,19
MA45,LAMPE MERCURE HXP R 120W/45C VIS,D132,481.5,1,1,481.5,OSRAM,19
MA45,"LAMPE PHOTO OPTIQUE 12V 100W GZ6,35 (64637)",D133,16.05,1,1,16.05,OSRAM,19
MA45,LAMPE 6V 35W (64275),D136,5.35,1,1,5.35,OSRAM,19
MA45,LAMPE 6V 20W GZ4 USHIO JCR/M (220533),D158,26.75,1,1,26.75,,19
MA45,LAMPE 8V 20W G4 (64255),D137,17.12,1,1,17.12,OSRAM,19
MA45,LAMPE X-CITE 120W,D150,802.5,1,1,802.5,LUMEN DYNAMICS,19
MA45,LAMPE 21V 150W EKE,D151,16.05,1,1,16.05,,19
MA45,LAMPE 24V 250W ELC (64653),D152,13.91,1,1,13.91,OSRAM,19
MA45,LAMPE 15V 150W (64634),D157,8.56,1,1,8.56,OSRAM,19
MA45,LAMPE 6V 30W PHILIPS (5761),D159,14.45,1,1,14.45,OSRAM,19
NB32,HUILE à IMMERSION ZEISS Immersol 518F 100ml,D100,190.09,1,1,190.09,ZEISS,19
NB32,HUILE à IMMERSION ZEISS Immersol 518F Burette 20ml,D101,53.5,1,1,53.5,ZEISS,19
NB32,HUILE à IMMERSION ZEISS Immersol 518F/37° 20ml,D100A,174.41,1,1,174.41,ZEISS,19
NB16,"LAMELLE RONDE Couvre objet Ø 12mm Epaisseur #1,5",D102A,13.32,1x200,200,0.0666,KNITTEL GLASS,19
NB16,"LAMELLE RONDE Couvre objet Ø 18mm Epaisseur #1,5",D103A,20.26,1x200,200,0.1013,VWR,19
NB16,LAMELLE RONDE Couvre objet Ø 22mm Epaisseur #1,D108,19.48,1x200,200,0.0974,MENZEL GLÄSER,19
NB16,LAMELLE RONDE Couvre objet Ø 32mm Epaisseur #1,D110,7.7,1x100,100,0.077,MENZEL GLASER,19
NB16,"LAMELLE RONDE Couvre objet Ø 30mm, Epaisseur #1,5",D110A,11.5,1x100,100,0.115,EPREDIA (MENZEL),19
NB16,"LAMELLES Couvre-objets 18x18mm, Epaisseur #1,5",D104A,4.32,1x200,200,0.0216,VWR,19
NB16,"LAMELLES Couvre-objets 22x22mm, Epaisseur #1,5",D105A,6.41,1x200,200,0.03205,VWR,19
NB16,"LAMELLES Couvre-objets 24x50mm, Epaisseur #1,5",D109,15.62,1x200,200,0.0781,LEICA,19
NB16,"LAMELLES Couvre-objets 24x60mm, Epaisseur #1",D107,15.62,1x200,200,0.0781,VWR,19
NB16,"LAME SUPERFROST Bords bruts, marge dépolie blanche 76x26mm",D112,3.36,1x50,50,0.0672,THERMO SCIENTIFIC,19
NB16,LAME SUPERFROST PLUS 76x26mm Bords rodés 90°,D116,14.87,1x72,72,0.206528,THERMO SCIENTIFIC,19
NB35,PLATEAU PORTE-LAMES en CARTON pour 20 Lames standard 75x25mm,D117,3.17,1,1,3.17,FISHER,19
NB35,BOITE pour LAMES de Microscopie en Polypropylène pour 100 Lames 76x26mm,D118,5.07,1,1,5.07,BIOSIGMA,19
NB35,BOITE pour LAMES de Microscopie en BOIS pour 100 Lames - 76x26mm,D119,26.08,1,1,26.08,,19
NB14,"BOITE de PÉTRI ""GREINER"" 35x10mm avec ergots (x740)",P007,106.82,1,1,106.82,GREINER,20
NB14,"BOITE de PÉTRI ""GOSSELIN"" 55x14,2mm avec 6 ergots (x1620)",P00621,90.48,1,1,90.48,GOSSELIN,20
NB14,"BOITE de PÉTRI ""GOSSELIN"" PS 90x14,2mm, 3 ergots (x825)",P0071,47.49,1,1,47.49,GOSSELIN,20
NB14,"BOITE de PÉTRI ""GREINER"" 94x14mm avec ergots (x480)",P007A,37.24,1,1,37.24,GREINER,20
NB13,COUNTESS Cell Counting Chamber SLIDE (x50) 10µl/Chamber - 2 Chamber/slide,P0701,107.26,1x50,50,2.1452,LIFE Technologie,20
NB13,"BOITE de PETRI de CULTURE ""TPP"" Diam 40x11mm (x20)",P0061,4.96,1x20,20,0.248,TPP,20
NB13,"BOITE de PETRI de CULTURE ""TPP"" Diam 60x15mm (x14)",P0062,3.64,1x14,14,0.26,TPP,20
NB13,"BOITE de PETRI de CULTURE ""TPP"" Diam 96x20mm (x10)",T93100,4.42,1x10,10,0.442,TPP,20
NB13,"BOITE de PETRI de CULTURE ""TPP"" Diam 146x20mm (x5)",T93150,6.37,1x5,5,1.274,TPP,20
NB13,BOITE de PETRI IBIDI Ø 35mm FOND LAMELLE 1.5 ( 2ml volume) Traité/Stérile,P0063,44.15,1x10,10,4.415,IBIDI,20
NB13,PLAQUES de CULTURE SPL 6 Puits,P0674N,0.85,1,1,0.85,SPL,20
NB13,PLAQUES de CULTURE SPL 12 Puits,P0676N,0.85,1,1,0.85,SPL,20
NB13,PLAQUES de CULTURE SPL 24 Puits,P0677N,0.88,1,1,0.88,SPL,20
